name,mile,landmark,details,onTrail,suggested_landmark,suggested_details,suggested_subcategory,flags
CV101,0,.1 miles off trail,reliable: water spigots - Peters OHV Campground ,False,,reliable: water spigots - Peters OHV Campground,,"trailing whitespace in details | mile=0: alternate route, no main trail mile marker"
ALTBRT01,0,,reliable: Donner & Blitzen River,True,,,,"mile=0: alternate route, no main trail mile marker | copy-paste cluster: 5 entries share identical details text"
ALTBRT02,0,,reliable: Donner & Blitzen River,True,,,,"mile=0: alternate route, no main trail mile marker | copy-paste cluster: 5 entries share identical details text"
ALTBRT03,0,,reliable: Donner & Blitzen River,True,,,,"mile=0: alternate route, no main trail mile marker | copy-paste cluster: 5 entries share identical details text"
ALTBRT04,0,confluence with Fish Creek,reliable: Donner & Blitzen River,True,,,,"mile=0: alternate route, no main trail mile marker | copy-paste cluster: 5 entries share identical details text"
ALTBRT05,0,meet ODT route at Big Spring,reliable: Big Spring,True,,,,"mile=0: alternate route, no main trail mile marker"
ALTAV02,0,Alvord Hot Springs,reliable: water for sale at Hot Springs,True,,,,"mile=0: alternate route, no main trail mile marker"
OC019,0,trough .1 W,reliable: Chicken Springs,True,,,,"mile=0: alternate route, no main trail mile marker"
ALTFC08,0,West Little Owyhee,reliable: West Little Owyhee,True,,,,"mile=0: alternate route, no main trail mile marker | copy-paste cluster: 24 entries share identical details text"
ALTIC03,0,,reliable: Owyhee River,True,,,,"mile=0: alternate route, no main trail mile marker | copy-paste cluster: 10 entries share identical details text"
ALTSC04,0,,reliable: Owyhee River,True,,,,"mile=0: alternate route, no main trail mile marker | copy-paste cluster: 10 entries share identical details text"
OC136,0,river/camping OC136 .2 N,reliable: Owyhee River .2 N,True,,,,"mile=0: alternate route, no main trail mile marker"
ALTGB03,0,Owyhee River,reliable: Owyhee River,True,,,,"mile=0: alternate route, no main trail mile marker | copy-paste cluster: 10 entries share identical details text"
ALTGB04,0,,reliable: Owyhee River,True,,,,"mile=0: alternate route, no main trail mile marker | copy-paste cluster: 10 entries share identical details text"
ALTGB05,0,,reliable: Owyhee River,True,,,,"mile=0: alternate route, no main trail mile marker | copy-paste cluster: 10 entries share identical details text"
ALTGB06,0,Hot springs across the river,reliable: Owyhee River,True,,,,"mile=0: alternate route, no main trail mile marker | copy-paste cluster: 10 entries share identical details text"
ALTGB07,0,,reliable: Owyhee River,True,,,,"mile=0: alternate route, no main trail mile marker | copy-paste cluster: 10 entries share identical details text"
CV002,0.5,junction Black Lava Trail,"canal, reliable late April to mid October",True,,,,
CV052,36.4,Sand Springs Campground (primitive),reliable until dry years in fall: Sand Spring in campground,True,,,,
ALTCV20a,84.3,Christmas Valley,reliable: Christmas Valley ,True,,reliable: Christmas Valley,,trailing whitespace in details
WB008,102.9,left at junction/trough,reliable: water trough (big blue tub of water),True,,,,
WB082,167.6,campground/pit toilets/water from Chewaucan River,reliable: Chewaucan River,True,,,,
WB083,168.2,Chewaucan Crossing/campground/pit toilets/water/join trail,reliable: Chewaucan River,True,,,,
WB085,170.4,Cat Canyon,reliable: creek,True,,,,vague/missing details -- no water source name
WB097,187.2,Moss Pass - cross road/spring,reliable: Moss spring,True,,,,
WB099,193.2,creek,reliable: Pine creek,True,,,,
WB113,212.4,Mill Trail Head - start to walk along creek,reliable: Crooked creek until WB118,True,,,,copy-paste cluster: 6 entries share identical details text
WB114,213.2,,reliable: Crooked creek until WB118,True,,,,copy-paste cluster: 6 entries share identical details text
WB115,213.7,junction,reliable: Crooked creek until WB118,True,,,,copy-paste cluster: 6 entries share identical details text
WB116,215.3,junction,reliable: Crooked creek until WB118,True,,,,copy-paste cluster: 6 entries share identical details text
WB117,217.2,,reliable: Crooked creek until WB118,True,,,,copy-paste cluster: 6 entries share identical details text
WB118,218.6,continue uphill at intersection,reliable: Crooked creek until WB118,True,,,,copy-paste cluster: 6 entries share identical details text
WB125,225.6,creek,reliable: First Swale creek,True,,,,
WB129,227.7,creek,reliable: Honey creek,True,,,,
WB131,230.0,creek,reliable: creek,True,,,,vague/missing details -- no water source name
WB135,232.4,creek,reliable: Little Honey creek,True,,,,
WB148,243.0,Colvin Lake to south,reliable: Colvin Lake,True,,,,
WB175,273.4,spring under road,reliable: spring,True,,,,vague/missing details -- no water source name | copy-paste cluster: 3 entries share identical details text
WB176,274.8,spring uphill from road,reliable: spring,True,,,,vague/missing details -- no water source name | copy-paste cluster: 3 entries share identical details text
WB192,297.3,creek,reliable: Guano Creek,True,,,,copy-paste cluster: 3 entries share identical details text
WB195,300.1,creek,reliable: Guano Creek,True,,,,copy-paste cluster: 3 entries share identical details text
WB197,301.1,creek,reliable: Guano Creek,True,,,,copy-paste cluster: 3 entries share identical details text
WB198,303.0,junction,reliable: at start of Guano Creek .5 mile S,True,,,,
WB201,306.8,creek/Hot Springs Campground - pit toilets & hot springs!,reliable: Rock Creek,True,,,,
WB202,307.1,,reliable: Rock Creek,True,,,,
WB208,311.3,Hart Headquarters,reliable: spigot in parking lot ,True,,reliable: spigot in parking lot,,trailing whitespace in details
